subject,actual_dice,predicted_dice,absolute_error
BraTS-GLI-00085-000,0.912793176972328,0.8505859375,0.06220723947232798
BraTS-GLI-00756-000,0.9390678659035359,0.8720703125,0.06699755340353586
BraTS-GLI-01215-000,0.9244005125389212,0.90625,0.018150512538921193
BraTS-GLI-01455-000,0.9313751087902673,0.90380859375,0.027566515040267303
BraTS-GLI-00414-000,0.9474565779412492,0.89892578125,0.048530796691249156
BraTS-GLI-00095-001,0.9485239193270845,0.86376953125,0.08475438807708446
BraTS-GLI-00346-000,0.9298963188434035,0.8984375,0.03145881884340351
BraTS-GLI-00606-000,0.8726349571298864,0.869140625,0.0034943321298863683
BraTS-GLI-00746-000,0.8466117216120728,0.75830078125,0.08831094036207277
BraTS-GLI-00795-000,0.9040890333876402,0.8720703125,0.03201872088764024
BraTS-GLI-00500-000,0.9163543802588444,0.89501953125,0.021334849008844414
BraTS-GLI-00101-000,0.9619839215152187,0.91064453125,0.05133939026521872
BraTS-GLI-00147-000,0.9550694171729642,0.9345703125,0.02049910467296423
BraTS-GLI-01042-000,0.931401403667665,0.92333984375,0.008061559917664995
BraTS-GLI-00444-000,0.8203960049065702,0.81591796875,0.004478036156570164
BraTS-GLI-01185-000,0.851419389394804,0.86865234375,0.017232954355196006
BraTS-GLI-00376-000,0.913550896909538,0.892578125,0.020972771909537946
BraTS-GLI-00542-000,0.8467860287643837,0.837890625,0.008895403764383691
BraTS-GLI-01365-000,0.716812511637094,0.65673828125,0.06007423038709403
BraTS-GLI-00631-000,0.9490689357504165,0.8544921875,0.09457674825041651
BraTS-GLI-01484-000,0.7485745481014957,0.71435546875,0.03421907935149571
BraTS-GLI-00120-000,0.9252196076646829,0.88623046875,0.03898913891468292
BraTS-GLI-00772-001,0.9191750992699895,0.8154296875,0.10374541176998953
BraTS-GLI-01422-000,0.9090572328210612,0.80517578125,0.10388145157106121
BraTS-GLI-00237-000,0.9375182481752281,0.8818359375,0.05568231067522811
BraTS-GLI-01256-000,0.9334276368137409,0.91259765625,0.020829980563740857
BraTS-GLI-01086-000,0.9398206143208199,0.9228515625,0.01696905182081987
BraTS-GLI-01269-000,0.82335008186088,0.81396484375,0.00938523811087999
BraTS-GLI-00537-000,0.7528213742062082,0.869140625,0.1163192507937918
BraTS-GLI-00468-000,0.8176198639032213,0.865234375,0.04761451109677872
BraTS-GLI-00736-000,0.7878298765234543,0.75927734375,0.028552532773454264
BraTS-GLI-01066-000,0.8956200527705036,0.888671875,0.006948177770503605
BraTS-GLI-00348-000,0.9065453272665269,0.84814453125,0.058400796016526924
BraTS-GLI-01237-000,0.862910008410501,0.89697265625,0.03406264783949897
BraTS-GLI-00258-000,0.7364757987982656,0.66455078125,0.07192501754826564
BraTS-GLI-01217-000,0.8918171228887989,0.921875,0.030057877111201114
BraTS-GLI-01657-000,0.9294195614955737,0.92333984375,0.006079717745573698
BraTS-GLI-00046-000,0.9564415764001424,0.90478515625,0.05165642015014238
BraTS-GLI-01496-000,0.9484382746653544,0.89794921875,0.05048905591535435
BraTS-GLI-00028-000,0.7514505253257778,0.81640625,0.06495572467422217
BraTS-GLI-01453-000,0.7340167251150067,0.68798828125,0.04602844386500671
BraTS-GLI-01459-000,0.9129947722182357,0.90625,0.006744772218235662
BraTS-GLI-00253-000,0.9099633455515429,0.88134765625,0.0286156893015429
BraTS-GLI-00388-000,0.9520573470416835,0.89892578125,0.053131565791683544
BraTS-GLI-01205-000,0.6987060998158533,0.8427734375,0.1440673376841467
BraTS-GLI-00195-000,0.9397014925373461,0.9208984375,0.01880305503734614
BraTS-GLI-00479-000,0.8570560842277212,0.8837890625,0.02673297827227883
BraTS-GLI-00667-000,0.9441898085737647,0.88330078125,0.060889027323764666
BraTS-GLI-00219-000,0.882352941176972,0.75,0.13235294117697205
BraTS-GLI-01010-000,0.9074604924660732,0.84619140625,0.06126908621607319
BraTS-GLI-01101-000,0.9641532756489573,0.8701171875,0.09403608814895725
BraTS-GLI-01458-000,0.9346733668342159,0.89501953125,0.03965383558421587
BraTS-GLI-00608-000,0.9470919904225121,0.89208984375,0.05500214667251213
BraTS-GLI-00550-000,0.8489597406108498,0.88623046875,0.03727072813915022
BraTS-GLI-00507-000,0.9526511018983314,0.9111328125,0.041518289398331354
BraTS-GLI-01395-000,0.8578016910071363,0.8681640625,0.010362371492863676
BraTS-GLI-00430-000,0.9244102622970072,0.8828125,0.04159776229700718
BraTS-GLI-01518-000,0.9458836418414749,0.90576171875,0.04012192309147489
BraTS-GLI-01077-000,0.8389134554653259,0.79931640625,0.03959704921532592
BraTS-GLI-00571-000,0.932503992603234,0.8662109375,0.06629305510323402
BraTS-GLI-00742-000,0.9134117223048355,0.90673828125,0.006673441054835472
BraTS-GLI-01167-000,0.7439443036351041,0.87060546875,0.1266611651148959
BraTS-GLI-00115-000,0.9224262142691506,0.8818359375,0.04059027676915061
BraTS-GLI-01282-000,0.7637789163174338,0.8232421875,0.059463271182566224
